Method	Path	OperationId	RequestSchema	PrimaryResponseSchema
DELETE	/api/v1/courses/{courseId}/branches/{branchId}	delete_branch_rule_api_v1_courses__courseId__branches__branchId__delete	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/branches/{branchId}/events	list_branch_events_api_v1_courses__courseId__branches__branchId__events_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/branches/{branchId}/events	record_branch_event_api_v1_courses__courseId__branches__branchId__events_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/discussions	list_discussions_api_v1_courses__courseId__discussions_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/discussions	create_discussion_api_v1_courses__courseId__discussions_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/discussions/{threadId}	get_discussion_api_v1_courses__courseId__discussions__threadId__get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/discussions/{threadId}/replies	add_discussion_reply_api_v1_courses__courseId__discussions__threadId__replies_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/peer-reviews	list_peer_review_submissions_api_v1_courses__courseId__peer_reviews_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/peer-reviews	create_peer_review_submission_api_v1_courses__courseId__peer_reviews_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/peer-reviews/{submissionId}	get_peer_review_submission_api_v1_courses__courseId__peer_reviews__submissionId__get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/peer-reviews/{submissionId}/reviews	add_peer_review_api_v1_courses__courseId__peer_reviews__submissionId__reviews_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/polls	list_polls_api_v1_courses__courseId__polls_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/polls	create_poll_api_v1_courses__courseId__polls_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/polls/{pollId}/votes	submit_poll_vote_api_v1_courses__courseId__polls__pollId__votes_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/polls/{pollId}/results	get_poll_results_api_v1_courses__courseId__polls__pollId__results_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/teams	list_teams_api_v1_courses__courseId__teams_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/courses/{courseId}/teams	create_team_api_v1_courses__courseId__teams_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/teams/{teamId}	get_team_api_v1_courses__courseId__teams__teamId__get	NOT_FOUND	INLINE_OR_EMPTY
PATCH	/api/v1/courses/{courseId}/teams/{teamId}	update_team_api_v1_courses__courseId__teams__teamId__patch	INLINE_OR_EMPTY	INLINE_OR_EMPTY
DELETE	/api/v1/courses/{courseId}/teams/{teamId}	delete_team_api_v1_courses__courseId__teams__teamId__delete	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/analytics/summary	get_analytics_summary_api_v1_courses__courseId__analytics_summary_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/analytics/skills	get_skill_mastery_api_v1_courses__courseId__analytics_skills_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/courses/{courseId}/analytics/manager-view	get_manager_view_api_v1_courses__courseId__analytics_manager_view_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/	root__get	NOT_FOUND	INLINE_OR_EMPTY
